Site,Longitude,Latitude,Species
Bem,-1.140916,50.6368,Pcalcareum
Biz,-4.98665,50.136483,Pcalcareum
Maw,-5.0311,50.16575,Pcalcareum
Maw,-5.0311,50.16575,Lcorallioides
Ger,-4.937717,50.198667,Pcalcareum
Hel,-5.123028,50.097694,Lcorallioides
Man,-5.0602,50.039417,Pcalcareum
Her,-4.907,50.2,Pcalcareum
AusI,-4.72985,50.319417,Lcorallioides
AusII,-4.72785,50.327283,Pcalcareum
AusII,-4.72785,50.327283,Lcorallioides
Gri,-4.689217,50.31915,Pcalcareum
Gri,-4.689217,50.31915,Lcorallioides
Wey,-2.319622,50.615993,Pcalcareum
Wey,-2.319622,50.615993,Lcorallioides
Swa,-1.910432,50.649958,Pcalcareum
Swa,-1.910432,50.649958,Lcorallioides
Mil,-5.08163,51.7047,Lcorallioides
Tud,-4.456283,52.809333,Lcorallioides
Ons,-8.915,42.395,Pcalcareum
Bor,-9.02,42.789,Pcalcareum
Zar,-5.564,54.379,Pcalcareum
Mor,-3.951,48.711,Pcalcareum
Tre,-3.887,47.795,Pcalcareum
